name	birth_date	birth_place	death_date	death_place	num_books	adepts	readers
Вадим Сафонов	1904-12-27	г. Керчь	2000-01-01		34	0	4
Михаил Холмогоров	1942-04-07	г.Москва, СССР	2017-01-31	г.Москва, Россия	6	0	5
Александр Сабуров	1908-07-19	с. Ярушки, Сарапульский уезд, Вятская губерния, Российская империя	1974-04-15	Москва, СССР	10	0	2
Кэндзабуро Оэ	1935-01-31	Осэ, Япония			30	42	848
Иван Наживин	1874-08-25	г. Москва, Российская империя	1940-04-05	г. Брюссель, Бельгия	39	1	37
Сергей Алексеев	1952-01-20	Томская область	2013-05-12	г. Санкт-Петербург, Россия	521	45	965
Михаил Соймонов	1851-05-01	Казань	1888-09-11	Казань	1	0	0
Shilpi Somaya Gowda	1970-12-09	Торонто, Канада			2	0	1
Клаес Андерссон	1937-05-30	г. Хельсинки, Финляндия			1	0	0
Андрей Ветер	1960-02-12	Москва			14	2	12
Сильвио Фанти	1919-09-22	Швейцария, Нёвшатель	1997-06-26	Франция, Париж	4	0	2
Борис Антоненко-Давидович	1899-08-05	Засулля, Роменський повіт, Полтавська губернія, Російська імперія	1984-05-08	Київ, Українська РСР, СРСР	1	1	7
Артем Сенаторов	1985-11-20	Москва			8	0	238
Иржи Брдечка	1917-12-24	Границе, Австро-Венгрия	1982-06-02	Прага, Чехословакия	3	0	7
Марсель Пруст	1871-07-10	Париж, Франция	1922-11-18	Париж, Франция	202	116	2098
Григорий Стернин	1927-01-26	Владивосток	2013-11-23	Санкт-Петербург	25	0	4
Арнольд Стивен Джейкобс-мл.	1968-03-20	Нью_Йорк, США			11	2	408
Нил Кэссиди	1926-02-08	Солт-Лейк-Сити, США	1968-02-04	Сан-Мигель-де-Альенде, Мексика	3	2	1
Ханс Бёрли	1918-12-08		1989-08-26		1	0	1
Ги Меттан	1956-11-19	кантон Вале, Швейцария,			2	1	15
Пьер Декс	1922-05-24	Иври-сюр-Сен, Франция			4	0	27
Константин Павлов	1977-07-26				10	0	14
Елена Ромек	1964-06-20	Новосибирск, СССР			2	0	0
Вилли Конн	1941-01-17	Россия			18	0	18
Лесли Глейстер	1956-10-04	Нортгемптоншир, Великобритания			4	0	1
Тревор Зара	1947-12-16	Мальта			1	1	11
Софья Прокофьева	1928-05-14	Москва, Россия			377	19	1897
Роза Сябитова	1962-02-10	Москва			26	1	32
Никита Толстой	1921-04-15	Вршац, Королевство СХС (Сербия)	1996-06-27	Москва, Россия	13	0	3
Брайан Олдисс	1925-08-18	Ист-Дерэм, Норфолк, Великобритания	2017-08-19	Оксфорд, Юго-Восточная Англия, Великобритания	55	4	500
Кэрол Дринкуотер	1948-04-22	Великобритания, Англия, Лондон			9	2	128
Ситиро Фукадзава	1914-01-29	Исава, преф. Яманаси, Япония	1987-08-18		0	1	8
Дарья Доцук	1990-03-08	Алма-Ата			7	2	367
Юлия Монакова	1980-07-02	Россия, Самарская область, город Отрадный			11	3	48
Дж. Т. Лерой	1965-11-02	Бруклин, Нью-Йорк, США			1	2	100
Александр Лук	1928-03-23		1982-10-26		6	0	9
Джимми Палмиотти	1961-08-14				41	0	191
Анна Саед-Шах	1949-12-30	Москва			3	0	6
Сьюзен Кросленд	1927-01-23	Балтимор, Мэриленд, США	2011-02-26	Лондон, Великобритания	4	0	2
Арнольд Гелен	1904-01-29	Лейпциг, Германия	1976-01-30	Гамбург, Германия	1	0	2
Бьярне Ройтер	1950-04-29	Брёнсхёй, Копенгаген, Дания			2	0	0
Маркус Хёрн	1970-06-21				1	0	9
Юрий Мушкетик	1929-03-21	с. Вертиевка, Нежинский район, Черниговская область			37	1	43
Джек Хоффенберг	1906-02-08	Балтимор, штат Мэриленд, США	1977-03-23	Студио Сити, штат Калифорния, США	1	0	1
Ларс Густафссон	1936-05-17	г. Вестерос, Вестманланд, Швеция	2016-04-03	Стокгольм, Швеция	6	0	66
Георгий Кубанский	1907-09-06	Баку, РИ	1976-10-15	Москва. СССР	13	0	5
Сергей Шумилкин	1952-04-22	г. Горький			3	0	1
Михаил Карпачёв	1959-01-11	г.Минск			3	0	1
Сергей Житомирский	1929-09-01	Москва, СССР	2004-07-24	Москва, Россия	15	0	15
Юрий Гагарин	1934-03-09	деревня Клушино, Гжатский район, Западная область, СССР	1968-03-27	около города Киржач, Владимирская область, СССР	25	1	76
Евгения Гутнова	1914-03-29	Санкт-Петербург	1992-01-01	Москва	3	0	2
Николай Козлов	1957-08-16				113	23	951
Марко Клоос	1971-10-25	Германия			7	0	1
Александр Миндадзе	1949-04-28	Москва			5	0	9
Дарья Иволгина	1963-10-13				19	0	14
Маркус Луттеман	1973-02-24	Арбуга, Швеция			3	0	5
Владимир Кобрин	1930-07-05	Москва, СССР	1990-12-30	Москва, СССР	11	0	33
Ян Калинчак	1822-08-10	Горне-Затурчье (ныне в составе Мартина), Австрийская империя	1871-06-16	Мартин, Австро-Венгрия (ныне Словакия)	1	0	1
Дидерик Йоханнес Опперман	1914-09-29	ферма Гедулд около Данди, провинция Натал, Южно-Африканский Союз	1985-09-22	Стелленбос, ЮАР	1	0	6
Нино Накашидзе	1872-01-01	с. Бахви Озургетский уезд Кутаисской губернии Российская империя	1963-07-02	Тбилиси, Грузинская ССР	1	0	0
Кэрролл Мэзер Кэппс	1917-11-27	США	1971-01-15	Калифорния, США	4	0	6
Дэвид Тьюлис	1963-03-20	Блэкпул, графство Ланкашир, Англия, Великобритания			0	0	0
Роберт Зубрин	1952-04-19	Лейквуд, Колорадо, США			2	0	41
Дарья Кузнецова	1988-03-26	Калуга, Россия			11	23	1107
Харальд Хердаль	1900-07-01	Копенгаген	1978-12-28	Копенгаген	0	0	0
Элия Барсело	1957-01-29	Аликанте, Испания			6	0	921
Николай Новиков	1744-04-27	с.Тихвинское-Авдотьино Московской губернии, Российская империя	1818-07-31		67	0	224
Викентий Дунин-Мартинкевич	1808-02-08	Панюшкавічы, Беларусь	1884-12-29	Люцынка, Беларусь	11	1	81
Алла Головина	1909-07-02	с. Николаевка Черкасского уезда Киевской губернии	1987-06-02	Брюссель, Бельгия	4	0	2
Иван Коневской (Ореус)	1877-09-19	Санкт-Петербург	1901-07-08	станция Зегевольд, Лифляндская губерния	2	0	4
Гаральд Браэм	1944-07-23	Берлин, Германия			2	0	16
Виктор Белаш	1894-11-12	с. Новоспасовка Бердянского уезда Таврической губернии	1938-01-24	Харьков	1	0	0
Стив Сомер	1941-06-26	Саванна, Джорджия, США			2	0	3
Роберто Боланьо	1953-04-28	Сантьяго, Чили	2003-07-15	Барселона, Испания	51	6	207
Светлан Семененко	1938-11-26	Ленинград, СССР	2007-05-18		1	0	0
Олег Яновский	1951-04-06	д. Крички, Минский район, Белорусская ССР			2	0	0
Дрю Карпишин	1971-07-28	Эдмонтон, Альберта, Канада			35	15	847
Борис Смирнов	1910-10-18	город Самара	1984-05-17		34	0	3
Руслан Бирюшев	1992-01-04	Кокшетау, Казахстан			2	0	6
Утуй Татанг Сонтани	1920-05-13	Чианджур	1979-09-17	Москва	6	0	6
Михаил Вершовский	1952-06-01	г. Грозный, СССР			6	0	67
Алексей Андреев	1971-05-07	Новгород, СССР			36	6	250
Ранко Маринкович	1913-02-22	Комижа, о. Вис, Хорватия, Австро-Венгрия	2001-01-28	Загреб, Хорватия	4	0	0
Барбара Колли	1947-07-26	Ringgold Bienville приход , штат Луизиана , США			5	0	13
Мария Шебанец	1989-04-27	Молодечно, Беларусь			1	0	1
Валерий Язвицкий	1883-01-24	с. Орлов-Гай Новоузенского уезда Самарской губернии, Российская империя	1957-10-21	г. Москва, СССР	46	0	40
Михаил Державин	1936-06-15	г. Москва, СССР	2018-01-10	Одинцово, Московская область, Россия	1	0	6
Питер Бенчли	1940-05-08	Нью-Йорк, штат Нью-Йорк, США	2006-02-11	Принстон, штат Нью-Джерси, США	25	3	344
Алексей Меняйлов	1957-02-11				13	4	25
Чарльз М. Шульц	1922-11-26	Миннеаполис, штат Миннесота, США	2000-12-12	Санта-Роза, штат Калифорния, США	44	0	46
Лев Стуколкин	1837-02-19	Санкт-Петербург, Российская империя	1895-05-20	Санкт-Петербург, Российская империя	1	0	0
Нелли Агаркова	1939-03-29				57	0	3
Артур Лоянич	1982-08-26	г. Пермь			26	0	1
Георгий Передельский	1913-03-25	деревня Орловка, Томская губерния, Российская империя	1987-11-21	Москва, РСФСР, СССР	2	0	1
Фрэнк Йерби	1916-09-05	Огаста, Джорджия, США	1991-11-29	Мадрид, Испания	10	3	84
Георгий Гурджиев	1872-01-13	Александрополь, Российская империя (ныне Гюмри, Армени	1949-10-29	Нёйи-сюр-Сен, Франция	48	19	194
Джон Рёскин	1819-02-08	Лондон	1900-01-20	Брентвуд	48	3	296
